"sampleSize","effect","I2","k","heterogeneity","dist","bias","large","effect_median","method","prop_converged_estimate","prop_converged_ci","bias_mean","bias_median","bias_mcse","relbias_mean","relbias_mean_mcse","relbias_median","relbias_median_mcse","var","var_mcse","empse","empse_mcse","width","width_mcse","mse_mean","mse_mean_mcse","mse_median","mse_median_mcse","rmse_mean","rmse_mean_mcse","rmse_median","rmse_median_mcse","coverage_mean","coverage_mean_mcse","coverage_median","coverage_median_mcse","correlation_skew","correlation_skew_mcse","kappa_skew","kappa_skew_mcse"
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"pearson_ci_additive_none",1,1,-0.0222985430047016,-0.0381901298458358,4.43409414615891e-06,-0.111492715023508,2.21704707307946e-05,-0.176894942524733,2.21704707307946e-05,0.00786408313498236,7.86467297808252e-05,0.0886796658483914,0.00044342050026697,0.23678305209814,0.000606628107356112,0.00836130815511489,7.84469368609051e-07,0.00932256915262416,8.73900003699121e-07,0.00836130815511489,2.34553419768761e-05,0.00932256915262416,2.3435063591165e-05,0.78835,0.00288837564644906,0.761,0.00301561768133827,0.71145138650071,0.00496933754779017,0.0617405413573342,0.0047284476005023
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"edgington_ci_additive_none",1,1,0.000916105962000868,-0.0149754808791333,3.76072250459084e-06,0.00458052981000434,1.88036125229542e-05,-0.0693657455496548,1.88036125229542e-05,0.00565693064193927,5.65735493825583e-05,0.0752125697070594,0.000376081652617928,0.291824667479695,0.00077891450723019,0.00565776989207289,4.37522011589659e-07,0.00588119566950056,4.78572254252578e-07,0.00565776989207289,1.93327945434239e-05,0.00588119566950056,2.03433230735044e-05,0.89165,0.00219784300508476,0.89075,0.00220583813436072,0.875121040473405,0.00342188970584283,0.632321243210296,0.00547856947563816
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"fisher_ci_additive_none",1,1,0.0205989047045382,0.004707317863404,3.84162277369667e-06,0.102994523522691,1.92081138684833e-05,0.0218040820037509,1.92081138684833e-05,0.00590293105284325,5.90337380034381e-05,0.0768305346385358,0.000384171881786768,0.23589260117249,0.000601104561722083,0.00632724592786989,5.92033576271749e-07,0.00592508989431037,5.56390283806694e-07,0.00632724592786989,2.33922303250453e-05,0.00592508989431037,2.34760271038661e-05,0.84055,0.00258868400447022,0.86375,0.00242575696948396,0.70034550230429,0.00504760900880587,0.0348303777193337,0.00447852763200752
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"tippett_ci_additive_DL",1,1,0.0128048740500344,-0.00308671279109982,4.56767450845571e-06,0.0640243702501718,2.28383725422785e-05,-0.0142975131002729,2.28383725422785e-05,0.00834504289307013,8.34566881040678e-05,0.0913512063033112,0.000456778870460079,0.37975104447475,0.00126276633849214,0.00850900769250738,8.94903768695692e-07,0.00835457068892487,8.3529889658625e-07,0.00850900769250738,2.62928358110342e-05,0.00835457068892487,2.49952668930539e-05,0.9462,0.00159539274161568,0.94425,0.00162237383947104,0.395548094159629,0.00649471349565732,0.212964271190646,0.00668730914946809
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"wilkinson_ci_additive_DL",1,1,-0.0150629085747769,-0.0309544954159111,4.66703497444035e-06,-0.0753145428738845,2.33351748722017e-05,-0.143379813307358,2.33351748722017e-05,0.00871205055675072,8.71270400138259e-05,0.0933383659421501,0.000466715165469024,0.380956604629554,0.00123066771263624,0.00893894177148281,9.40856540155562e-07,0.00967023134320438,1.03333708559582e-06,0.00893894177148281,2.63134206544756e-05,0.00967023134320438,2.67143837857091e-05,0.92905,0.00181543517510265,0.9316,0.00178495714234264,0.390107862966583,0.0065111467704091,0.216943854078144,0.00660541572479518
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"pearson_ci_additive_DL",1,1,-0.000340668369333358,-0.0162322552104675,3.90216494836054e-06,-0.00170334184666679,1.95108247418027e-05,-0.0751870670273603,1.95108247418027e-05,0.00609045197585977,6.09090878830862e-05,0.0780413478603475,0.000390226250614268,0.311938381703837,0.000963829245420526,0.00609056803079763,4.90719623263092e-07,0.00635393808507752,5.39196011057155e-07,0.00609056803079763,2.01426049582614e-05,0.00635393808507752,2.12150324663801e-05,0.9072,0.0020516841862236,0.9054,0.00206943035640246,0.770788219656381,0.00450514213455164,0.111939592796421,0.00355396148284775
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"edgington_ci_additive_DL",1,1,0.000278939802357686,-0.0156126470387765,3.71190986580736e-06,0.00139469901178843,1.85595493290368e-05,-0.0723170701888684,1.85595493290368e-05,0.00551103437525418,5.5114477286668e-05,0.0742363413380143,0.000371200266703407,0.322729500101668,0.000987152505649768,0.00551111218266752,4.08504170546691e-07,0.00575478912281159,4.44473388090097e-07,0.00551111218266752,1.85309315527744e-05,0.00575478912281159,1.93088477529192e-05,0.90685,0.00205515300525289,0.90715,0.002052180273514,0.887921774444453,0.00325281481240342,0.437244906276325,0.00635912651729143
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"fisher_ci_additive_DL",1,1,2.58523444996717e-05,-0.0158657344966345,3.88321091583793e-06,0.000129261722498358,1.94160545791897e-05,-0.0734893597697693,1.94160545791897e-05,0.00603142922021281,6.0318816056783e-05,0.07766227668703,0.000388330799975149,0.310346904947869,0.000972043787762106,0.00603142988855653,4.88054435908816e-07,0.00628315075133051,5.01677576595361e-07,0.00603142988855653,2.02296323146691e-05,0.00628315075133051,1.99612263198176e-05,0.9159,0.00196248808913583,0.9177,0.00194327957329871,0.757260890314892,0.00461843373807551,0.119026528050601,0.00354239523556798
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"tippett_ci_additive_REML",1,1,0.0110239747287239,-0.00486761211241027,4.47501676821449e-06,0.0551198736436195,2.23750838410724e-05,-0.0225465576664279,2.23750838410724e-05,0.00800990951481882,8.01051029558107e-05,0.0894980978279361,0.00044751286478292,0.385417700036043,0.00136682907488909,0.00813143753363837,7.52983610397367e-07,0.0080336031624957,7.11587055584386e-07,0.00813143753363837,2.31503841504778e-05,0.0080336031624957,2.21440815905115e-05,0.94825,0.00156639614242375,0.9448,0.0016148213523483,0.390781748637908,0.00650912575684222,0.215329908388108,0.00670669962005931
50,0.2,0.3,3,"additive","snl","none",2,0.215891586841134,"wilkinson_ci_additive_REML",1,1,-0.013264680146676,-0.0291562669878102,4.59060976558844e-06,-0.0663234007333799,2.29530488279422e-05,-0.1350505011076,2.29530488279422e-05,0.00842905773400599,8.42968995284955e-05,0.091809899978194,0.000459072453513646,0.386646929160588,0.0013361836215655,0.00860500947339961,7.66529175062853e-07,0.00927914563867046,8.4763244960781e-07,0.00860500947339961,2.22698527361417e-05,0.00927914563867046,2.28370283917987e-05,0.93005,0.00180356587764351,0.93275,0.00177098048408219,0.385356325188683,0.00652528030510259,0.2212977173527,0.00661035983913741
